al_quaan_center,"al_quaan"
Al Quaan Alpha,"Al Quaan Alpha"
Iberville,"Iberville"
Soham,"Soham"
Manufacturing Station,"Manufacturing Station"
Iberville Arms Factory,"Iberville Arms Factory"
Soham Arms Production,"Soham Arms Production"
Ostir,"Ostir"
STC Station,"STC Station"
Processing Station,"Processing Station"
Faidi,"Faidi"
Ishai,"Ishai"
Security Station,"Security Station"
Military Garrison Station,"Military Garrison Station"
Military Weapons Facility,"Military Weapons Facility"
Al Quaan Governor,"Al Quaan Governor"
Naveen,"Naveen"
Naveen Agricultural Station,"Naveen Agricultural Station"
Aziz,"Aziz"
Aziz Organics Mine,"Aziz Organics Mine"
Aziz Mine Base,"Aziz Mine Base"
Alquua Belt,"Alquua Belt"
Rock of Thieves,"Rock of Thieves"
Paradise,"Paradise"
Soham Lpoint,"Soham Lpoint"
Aziz Lpoint,"Aziz Lpoint"
